,text,tag,senti_polarity
31, 【智言慧语】中国三十余年的改革，最初的二十多年，目标很物化，小康、温饱、翻两番，解决人与物之间的问题，是生存的需要；而每一个个体，也把幸福寄托到物化的未来身上。,励志,positive
32, 你拼命过了这个关卡，却发现前方还有更多的坎。实现某个目标后就能一劳永逸永远不适合大多数人，在黑夜行走的人等到阳光还是会面对黑夜。,励志,positive
33, 目标有时是一个，有时是多个，前者有些不切实际，后者又草率，合而为一，一个大目标，划分若干个最贴切的小目标，这样做起事才能明确知道现在所做的事情与你的目标是否背离。,励志,positive
34, 当前的目标并不在于发现我们是谁，而是去拒绝我们是谁。真正有血性的人，是绝不曲意求别人重视，也不怕别人忽视。不能忍受无聊的一代人，是平庸的一代人。不能忍耐无聊，生活就会变成对无聊的逃离。,励志,positive
35, 学会积极主动，主动的意志力能让你克服懒惰，把注意力集中于未来，在遇到阻力时，想象自己在克服它之后的快乐；积极投身于实现自己目标的具体实践中，你就能坚持到底。,励志,positive
36, 没有什么大不了的事情，如果人生交给我们一个问题，它也会同时交给我们处理这个问题的能力。积极的心态和确定的目标是改变心情的起点。,励志,positive
37, 生活不相信眼泪，不会可怜与怜惜懦夫的，只会眷顾生活中的强者的，生活的懦夫是永远达不到心中的目标的，只能站在山脚下仰望山峰看不到最美丽的风景的。,励志,positive
38, 小时候愉悦是一件东西，得到了你就愉悦；长大后愉悦是一个目标，实现了你就愉悦；成熟后愉悦是一种心态，领悟了你就愉悦。,励志,positive
39, 每天都去给自己一个希望，那就是去给自己一个目标，给自己一点信心。希望是什么？是引爆生命潜能的导火索，是激发生命激情的催化剂。每天给自己一个希望，我们将活得生机勃勃，激昂澎湃。,励志,positive
40, 【智言慧语】如果你的目标与规划非常明确，一切问题都不是问题，都阻碍不了前行的脚步，一切无关紧要的事都会觉得事不关己，与我没有任何关系。,励志,positive
41, 【智言慧语】人生目标确定容易实现难，但是如果不行动，那连实现的可能也不会有。一辈子的承诺不可以轻易的说出口，或许你，给不起我未来。故而，不旅行就不知道世界有多美好。,励志,positive
42, 【智言慧语】他们完成任务。那些知道如何完成任务，达成目标，兑现承诺的人对于组织来说犹如黄金一样宝贵。这个因素比其他任何因素都更能够显示出一个人的执行潜能。,励志,positive
43, 旅游的这几天，我在欣赏美丽风景的同时，用心感受陌生人临时聚在一起，遵守相同的时间，迈着相同的步伐，朝着相同的目标，在前行的路上，相互关爱、相互理解、相互包容的温馨。,励志,positive
44, 【智言慧语】我从不酗酒，一小杯伏特加，仅此而已。酒精对解决问题没有帮助。我享受达到既定目标的快乐。如果有什么事情阻碍我，我就将其除去。,励志,positive
45, 【为什么失败】1，在目标面前，你越纠缠于干扰和杂音，就越远离目标；2，一个人只要不被自己打倒，谁也不可能打倒他；3，那些倒下的人，99%败在了自己的情绪和心态上。,励志,positive
46, 什么是人生？人生就是用不休止的奋斗。只有选定了目标并在奋斗中感到自己的努力没有虚掷，这样的生活才是充实的，精神也会永远年轻。路遥《平凡的世界》,励志,positive
47, 当我们年轻的时候总是在等待所谓的机会，那是一种过于短期的收获希望，付出的同时获取了绝对的精神满足，就此历练了一种耐心，那可是对人生目标长久的一次规划。,励志,positive
48, 聪明女人不为利益出卖肉体，年轻时不做花瓶，中年时不做醋瓶，老年时切忌药瓶为自己人生追求的终极目标，让生命活得更有质量一点。,励志,positive
49, 手表定律——找到一只准确的“手表”，然后只相信它（两个以上的目标等于没有目标；找准目标，要坚定你的目标，踏踏实实地走下去）,励志,positive
50, 我的男孩，当你看到这份邮件，我已经在飞机上了，去那个我很早就与你提过的地方。念叨这么多年，我终于可以完成自己的目标，去那里读书了。,励志,positive
51, 你若若无其事地过日子，有一天你会发现你将难以往前多走半步。无论发生什么，先善待自己。生活中是会有许多这样的场合：你打算去用忿恨去实现的目标，完全可能是由宽恕去实现。,励志,positive
52, 目标是支撑我们坚持下去的源自内心最原始的驱动力，有了这股力量我们自然会全力以赴去做，我们定能赢得机遇的垂青，我们定能赢得精彩的人生。,励志,positive
53, 【智言慧语】许多人会设定目标，但并不真的说到做到。如果他们不能在设定期限内实现目标，就会放弃。当我设定一个目标时，会真的说到做到。,励志,positive
54, 有什么样的目标就会有什么样的人生，望前看，一直想着你要的，一切有计划有安排，让生活变得很有价值。那么你心中的热忱就会燃烧起来，接着奇迹就发生了。,励志,positive
55, 【幸福女人的经典语录】任何事物的发展都不是一条直线，聪明的女性能看到直中之曲与曲中之直，并不失时机地把握住事物迂回发展的规律，通过灵活应变，达到既定的目标。,励志,positive
56, 心里所说的挫折，是指我们为实现预定的目标采取的行动受到阻碍不能克服时所产生的一种紧张心理情绪的反应，它是一种消极的心理状态。,励志,positive
57, 【智言慧语】人生需要一个正确的目标，这样才能走得更远，人生需要沉淀，宁静才能致远，决定我们一生的，有时不是我们个人的能力，而是我们自己的选择。,励志,positive
58, 【智言慧语】人生这条路其实很长，长得让人不知不觉就迷失了该要去的方向，所以我们每一个人，都需要给自己的人生一个明确的目标，要清清楚楚地告诉自己未来的方向在哪里。,励志,positive
59, 我们首先要学会享受自由，在自由面前不放纵、不迷失；能在自由中找到自己的目标，能在自由中自觉自制，能够尽情地开发自我、自由地放飞个性，实现自我。,励志,positive
60, 【智言慧语】幸福是陪伴人一生的追求，从来没有过片刻的远离。幸福就在身边，如影随形，只是我们更多的时候，忙于追逐世俗的目标，而忽略了它的存在。,励志,positive
61, 【幸福女人的经典语录】对待金钱，必须拿得起、放得下，赚钱是为了活着，但活着绝不是为了赚钱。假如一个人活着只把追逐金钱作为人生唯一的目标和宗旨，那这个人将会被金钱捆绑起来，被生活所遗弃。,励志,positive
62, 在青春时节取得突出成就的青年，懂得一寸光阴一寸金的道理，心怀祖国，心系民众，目标清晰，（www.yipinjuzi.com）为人真诚，做事勤奋，积极进取，奋发有为。,励志,positive
63, 一个足够好色的女人，才会真正意义上的修炼自己。因为她越好色就越知道自己离目标的距离，越清楚自己的不足，她的一切努力都更有针对性。先做对，再做好，努力就有收获。,励志,positive
64, 【智言慧语】创新者致力于学刁与提高技能，展现出较强的自制力与明确的目标性。他们有坚定的信念与骨子里的主见。创新者需要自由与多样性，会躲开那些结果可预见的任务。,励志,positive
65, 【智言慧语】西来者人一再强调，智慧不是知识，不是博学。在博学的人，他所拥有的也只是对于有限与暂时事物的知识，而智慧确是要把握无限与永恒。由于人本身的局限，这个目标永远不可能真正达到。,励志,positive
66, 【心理学语录】不管你做得多么好，不管你做得多么到位，永远应该想着踏踏实实地归零，不断地归零，从头一开始。向前走，既要义无反顾，又要诚惶诚恐，把过去的一切抛在身后，只向着自己的目标。,励志,positive
67, 脚下的路，多了些曲折，也多了些萌发的欣喜。朝着这似乎即将到达的目标，心中不免多了些暖暖的感动。拼搏，努力，成了生活的主旋律。彷徨的一刻，在耳际总是会响起更多的鼓励。,励志,positive
68, 多数人认为，一旦到达某个目标，人们就会感到身心舒畅。但问题是你可能永远达不到目标。把愉悦建立在还不曾拥有的事情上，无异于剥夺自我创造愉悦的权力。,励志,positive
69, 你的心有多大，你的世界就有多大。你能看多远，你就能走多远。有的时候不是你做不到，而是你从来没希望自己能做到，从来没往那边想。对于目标与实现目标，无非就三步，思考、选择、行动。,励志,positive
70, 学会遗忘自己的成就，因为过去的辉煌可能是你继续前行的最大障碍。怕什么就会想到什么，信什么就会听到什么。如果你想过得快乐，就要把生活跟目标联系在一起，而不是跟某个人或某些事。,励志,positive
71, 心地的宽恕才是做人的品格，它同样是一种做人的规范，它也是这一趟人生的责任，人生就应该如此，在随缘中重新规划出路与格局，让人生向着宽阔的目标去改变。卷帘看人间，青山柳色新。,励志,positive
72, 【坚持】需要保持对目标的坚定信念，坚持是对自信的坚持把握与实践，坚持是每一次战胜自己懒惰的斗争，坚持是每一天付诸的行动。,励志,positive
73, 我们在制定的目标要明确，而且在要自己能力范围以内，只有明确可行的目标，能让我们有动力。目标太大，那只会是一句空话而已。,励志,positive
74, 在各行各样做出杰出成就的人，他们其实都是同一类人。说简单点，他们就是目标明确并且拼命向前跑的人。没有那么多的顾虑，那么多的患得患失，心无旁骛要达到目标的人。,励志,positive
75, 【智言慧语】在爬很长的阶梯时，眼睛不要盯着最顶端的那一阶，而是要专注于眼前最近的这一阶。一个阶段一个阶段走下去，将目标的视觉距离拉近一些，尽可能稳扎稳打，就比好高骛远容易多了。,励志,positive
76, 现实总是远离期待，原因在于过度高估了期待，却将达成目标的要求无条件的低估许多，只因想以少许的代价，换取最高的目标。,励志,positive
77, 我的目标似乎是创造一种抽取了人性、功能性与生活方式的抽象空间，因为我的建筑首先表现为裸露的空间，凡是我所追求的是原型空间而不是抽象的空间。,励志,positive
78, 你想是怎样的人，你就是怎样的人；你想成为怎样的人，你就会离这个目标不会太远。我怎么样你不要管，要看现实就看自己的。,励志,positive
79, 【智言慧语】不管现在你对未来多困惑，多迷茫，都不要忘了树立一个目标。一个人过去或现在的情况并不重要，将来想要获得什么成就才最重要。,励志,positive
80, 要找对象就一定要找相互尊敬的，相互扶持的，必须跟自己在一生当中，奋斗努力的方向相同、目标相同、兴趣相同，这样的结合，彼此互相是一个助手，家庭一定会美满。,励志,positive
81, 【智言慧语】做人像水，做事像山，做人尽量往低处走，忍让他人，做事定要有自己的主见与目标；不争就是慈悲，不辩就是智慧，不闻就是清净，不看就是自在，知足就是放下，利人就是利己。,励志,positive
82, 【智言慧语】人生的意义就在于你不停的给自己定一个目标去完成这个事情，重要的是在这个过程当中，不断的得到自己的一个肯定。,励志,positive
83, 不要看那些离得很远的岩石，只管迈出第一步：站稳脚根之后．再迈另步，直到达到预期的目标。这时．再回过头来看看所走过的路程，就会为自己所取得的成就感到惊讶和自豪。,励志,positive
84, 【智言慧语】幸福的人总是不断地为自己树立一些目标，通常我们会重视短期目标而轻视长期目标，而长期目标的实现更能给我们带来幸福感受，你可以把你的目标写下来，让自己清楚地知道为什么而活。,励志,positive
85, 【智言慧语】人类最独特的不是我们有洞悉思考事物本质的理智，而是我们有遵守承诺、矫正更新的能力，坚守价值观及追求目标的意志。,励志,positive
86, 去做你自己喜欢的事情，无论是顺利还是艰难，沉浸到做事的过程中去，把事业的目标当做恋爱的对象去爱、去追求，这样，你会感觉好得多，得到的也会更多。,励志,positive
87, 夫妻双方要有共同的生活目标与生活追求。如果一方只想安于现状，另一方却想拥有更好的生活品质，那么，你们之间必要有一个人能够妥协。,励志,positive
88, 【心理学语录】青春就是要拥有一种取悦自己的能力，这是上天的礼物。如同猫的尾巴，独处的时候拿来玩乐，没有目标的时候拿来追找。,励志,positive
89, 人生有时因为有太多的执念、太多的愁苦、太多的奢求、而模糊了视线、迷失了方向、束缚了手脚、产生了虚妄，最终导致走入了迷途，丧失了目标与追求。舍实为得，放下乃是为了更好的坚守。,励志,positive
90, 【智言慧语】生活简单就是幸福，不意味着我们放弃了对目标的追逐，是在忙碌中的停歇，是身心的恢复与调整，是下一步冲刺的前奏，是以饱满的精力与旺盛的热情去投入新的战斗的一个驿站。,励志,positive
91, 每次坐在他旁边看着他的侧脸，我都能生出来一种很安心的感觉。我总觉得我们的人生相同，目标相同，就这样一起走下去，就一定会走到我们想要的未来。,励志,positive
92, 嘴好的人在人生路上走得快，但容易走歪；心好的人一开始走得慢，但他们走得正、直，所以不见得嘴好的人就比心好的人更快到达人生目标。,励志,positive
93, 我们活在世上，不能没有做人的尊严，不能不顾及自己的身份与名誉，不能让强烈的虚荣心占据自己。正如徐悲鸿所说：“人不可有傲气，但不可无傲骨。”选定了目标，就不要理会别人的冷嘲热讽。,励志,positive
94, 你有积极进取的态度，但缺乏坚韧不拔的毅力；你有争优当先的目标，但又缺乏自我约束的能力；你机灵、好动，但不注意场合与分寸。愿你能扬长避短，刻苦学习，你一定会很出色的。,励志,positive
95, 【底线思维】底线思维体现了这样一种原则：当一件事情已经坏到底的时候，只会有两种可能：第一，不可能更坏了；第二，物极必反。设定最低目标，争取最大的期望值。这，就是底线思维预期。,励志,positive
96, 【智言慧语】以追求自己的幸福为目标者，是平庸的；以博得别人的好评为目标者，是虚伪的；以实现他人幸福为目标者，是高尚的。,励志,positive
97, 人在许多场合下都会出现体力不支筋疲力尽的情况，可是坚定的信念、顽强的意志、不倒的精神会神奇地在你的身上激发起新的体力，促使你走向既定目标。,励志,positive
98, 如果你确实明白自己努力的目标，真愿意奋力去做，知道什么方法有效，能适时调整做法并好好掌握机会，那就没有做不好的事。,励志,positive
99, 【专心做好一件事】 一个人要想有所成就，就要有专一的目标，如果什么事情都想做，常常三心二意、半途而废，到头来反而会一事无成。因此，我们也要确定自己的奋斗目标，然后集中精力勇往直前。,励志,positive
100, 逆境，一匹难以驯服的烈马，善于驾驭者跨鞍扬鞭，向着既定的目标乘风而行。,励志,positive
101, 想起那条与记忆相连的路，心里的温暖就会泛滥。每一次地临近年关，人潮汹涌中，每个人的心里都有一个共同的目标，那就是踏上回家的路。,励志,positive
102, 其实我们都是三好学生、我们的三好目标是、吃好、玩好、睡好。,励志,positive
103, 生命对某些人来说是美丽的，这些人的生命都为某个目标而奋斗。,励志,positive
104, 没有目标，没有方向，哪里有路就去哪里。,励志,positive
105, 一个没有崇高理想的人，就好像是在没有星辰的黑夜里行走，他的生活中没有促使他奋斗的目标，这样他的一生将永远碌碌无为，在空虚无聊中度过。,励志,positive
106, 奔跑着追求目标是一种境界，竭力地挑战极限是一种快乐，微笑着超越苦难是一种幸福。很多时候，累与不累，不取决于事件本身，而最终取决于我们对事件的心态。,励志,positive
107, 登山是无情的追求，一个人越攀越远，但永远不能到达目的地，也许这就是登山的特别魅力。一个人一直追求着永远不可能达到的目标。,励志,positive
108, 所谓荣誉，就是一种向人们展示自己，并可以让人终身受益的资本。是否有荣誉心关系到事情的成败，而荣誉心是由自己的心去决定的。世上不知有多少安于现状的人，只因没有强烈的荣誉观念，所以他们得过且过，每天重复枯燥的生活，永无为目标去努力去激情的感受。其实很多时候，他们自身明明是可以做到的，却被自己丢弃在平庸的荒漠。,励志,positive
109, 真正的幸福不在于目标是否最终达到，而在于为达到目标所作的奋斗。,励志,positive
110, 不要为打翻了的牛奶哭泣，你的目标应该更远些。,励志,positive
111, 女人奋斗的目标就该是，让以前的男人遗憾，让现在的男人流汗，让未来的男人稀罕。,励志,positive
112, 有了理想，有了目标，有了奋斗，才会在未来的旅途中走得更远。,励志,positive
113, 为每一个人培养起善良、诚挚、同情心、助人精神及对一切有生之物和美好事物的关切之情等品质，是学校教育的基本的起码目标。学校教育就要由此入手。（第四卷247页《帕夫雷什中学》）,励志,positive
114, 【智言慧语】想想过去的艰难日子，对现在的生活应该知足了，这叫不忘本，也叫知足者常乐；展望未来，又不能满足，不能止步不前，要向更高的生活目标前进。,励志,positive
115, 虽然多年后，社会上才教导我，生存的目的是赚钱，奋斗的目标是女人。,励志,positive
116, 【及时表扬孩子】孩子都希望得到父母的肯定。对孩子取得的成绩，父母一定要及时予以赞赏与表扬。及时的赏识与表扬不仅能最大限度的满足孩子的成就感，还能让他们因父母的表扬与赏识而产生强烈的自豪感。同时也是父母对孩子努力过程持续关注的表现，能激发他们向下一个目标奋进，所以表扬孩子，要及时。,励志,positive
117, 当你的能力不足以支撑你的目标的时候，你要慢下来，甚至停下来学习。,励志,positive
118, 与她分开半年后的时间里，我一直找不到继续奋斗下去的动力，更不知道未来奋斗的目标是什么。人也变得沉闷暴躁。,励志,positive
119, 【智言慧语】在许多人看来，优越的物质生活一定是梦寐以求的，但这并不是所有人的唯一目标。你给过我很优越的生活，但可惜我没有觉得幸福。我只希望我的生活可以平淡一点、简单一点。,励志,positive
120, 生存的目的是赚钱，奋斗的目标是女生。,励志,positive
121, 曾几何时，我们虚荣过，幻想过，为狭隘的目标奋斗过。待到重新回头看待这一切时，觉得很多事情都云淡风轻了。,励志,positive
122, 预期的目标。不同的人、不同的时期，有着不同的目标。,励志,positive
123, 努力向上吧，星星就躲藏在你的灵魂深处；做一个悠远的梦吧，每个理想都会超越你的目标。,励志,positive
124, 我的奋斗目标是能在百度资料上搜出我的资料来。,励志,positive
125, 越焦躁与期待，往往越不会到来，而越心静无念，便越能得到想要的结果。把目标瞄准在你想要的理想人格与生活上，放松心态、精进努力，做你该做的，不要过分惦记。所谓无念并不是心里毫无念想，而是有念想但不驻留。,励志,positive
126, 【简单的生活哲理值得深思】没规划的人生叫拼图，有规划的人生叫蓝图；没目标的人生叫流浪，有目标的人生叫航行。蜜蜂忙碌一天，人见人爱；蚊子整日奔波，人人喊打。多么忙不重要，忙什么才重要。一次重要的抉择胜过千百次的努力。今天的生活是由三、五年前选择决定的，而三、五年后的生活是由今天决定。,励志,positive
127, 【智言慧语】给自我定一个五年的目标，然后，把它分解成一年一年，半年半年的，三个月的，一个月的。这样，你才能找到自我的目标和方向。,励志,positive
128, 永远的与平是所有人都期待着的，又是所有人都为之奋斗的目标。然而，总还是有那么些爱捣乱的，永远也长不大的小人。,励志,positive
129," 【找强大对手作目标】①找个强大对手作目标，既可以看到自己明天影子,又可以看到今天存在差距；②找个强大对手作目标，可以激励自己努力奋进,激励自己参与博弈、战胜对手的欲望；③找个强大对手作目标,可以减少自己走出的弯路。一个人价值,要靠对手强弱来体现。",励志,positive
130, 不断设立新的目标是一个挑战自我的过程，也是一个不断进步的过程。,励志,positive
131, 因为希望，让很多人产生了追求的想法；因为希望，让人们有了战胜困苦与磨难的勇气；因为希望，让人们有了人生的目标与前进的方向；因为希望，给自己的生活与生命创造了机会，并让自己在希望中得以努力与成长；正是这个希望，让很多人精神焕发。,励志,positive
132, 【智言慧语】我们做任何事都应有一番雄心大志，立下远大目标，才有压力与动力。,励志,positive
133, 欲望指向未来，我们的兴趣一直停留在未来的目标和结果上面，因为这个缘故，当下这一刻，此时此地就被空洞化了。这就是我们常常感到空虚和无聊的真正原因。,励志,positive
134, 人的潜在潜质无穷无尽，但务必用远大的奋斗目标去开发，目标越远大，潜能开发的越多。目标越小，潜能就得不到开发，甚至退化。,励志,positive
135, 共同的理想信念、奋斗目标，遵守统一的行事规则与铁的纪律，是团结的基石。,励志,positive
136, 君子行事为目标，小人行事为目的。,励志,positive
137, 生命对某些人来说那是美丽的，这些人的一生都是在为某个目标而奋斗。,励志,positive
138, 【智言慧语】缘分这种东西，又怎样会象是某个制定的目标，只要发奋，就必须能得到呢。,励志,positive
139, 结婚不是互相凝视对方的眼睛，而是互相凝视共同的目标，共同前进。,励志,positive
140, 【智言慧语】有目标有动力以后怎么做？豁出去了，逼上梁山地迈出第一步，你就真的一开始了。,励志,positive
141, 要明白，往生净土不是一个最终目标，而是找求一个最好的师法友环境去修行，成佛才是究竟宗旨。要成佛，当下就要种正因、结善缘，积累福慧资粮。就好比年轻人努力考大学，但不是考上大学就完了，读大学是为了更好的充实自己，更好的生活与建设，怀着这样的心情去备考，当下与未来是统一的。,励志,positive
142, 我不敢保证天天和你融洽，但争取经常融洽是我今后的奋斗目标！,励志,positive
143, 【智言慧语】快乐是追找的目标，却没有人知道它的轨道。世界如此荒凉，只是无时不在改变。,励志,positive
144, ⊙逃离困难，躲避风险，就会把一个人的活力与成长力剥夺殆尽，形同一具行尸走肉。没有与艰难斗争的经历就不是真正的人生。败者总想找捷径，但赢家以达到目标为信念，卷起袖子来努力迎接挑战。,励志,positive
145, 因为选择了远方，所以便只顾风雨兼程；因为无所依靠，所以必须坚强；因为选择了与别人不一样的目标，所以必须付出与别人不一样的努力。,励志,positive
146, 【智言慧语】有德行的人之所以有德行，只不过受到的诱惑不足而已；这不是因为他们生活单调刻板，就是因为他们专心一意奔向一个目标而无暇旁顾。,励志,positive
147, 【培养孩子20年后的9大竞争力】那句不能让孩子输在起跑线上已经广为诟病，但事实上，千千万万的父母仍正在做着飞蛾扑火的努力。人生不是短跑，而更象是一场马拉松。当父母在子女的教育上有了更长远的目标与眼光时，他自然能理解孩子身上的哪些特质是比成绩更重要的。推荐给为人父母的网友们。,励志,positive
148, 我再也不会改变我的理想了；再也不会了，我要为自己的目标去努力奋斗，在这个世界上，只有成为一个武艺高强的人，才不会受人嘲笑，受人欺负。,励志,positive
149, 医生叫我进行光合作用，不要熬夜了。37、我说过做人要低调，可你非要给我掌声和尖叫。38、一颗心，只能装一个人，如果你装了两个人，你就不是人。39、最低奋斗目标：农妇、山泉、有点田。40、开奥迪、穿迪奥、没事就吃奥利奥。,励志,positive
150, 只有选择了目标，就不要想太远，每天踏踏实实，风雨兼程。生命不息，战斗不止。,励志,positive
151, 没有目标的人永远在为有目标的人奋斗。,励志,positive
152, 我们一生中，必需立下志愿，必须有奋斗的目标。,励志,positive
153, 当你走出第一步，脚尖就指向了你的目标，不必再迷茫。,励志,positive
154, 【智言慧语】幸福如果作为生活的副产品，是很棒的一个东西，但把幸福作为目标来追求，只会导致灾难。对于很多人来说，时尚可能是赤橙黄绿青蓝紫，但是有一种时尚永远不变，那就是辨别黑白。,励志,positive
155, 智者顾大局谋大事，以最终目标为核心；愚者顾眼前谋小利，以寸利必争为原则。,励志,positive
156, 【智言慧语】有目标的人，在奔跑；没目标的人，在流浪。有目标的人，在感恩；没目标的人，在报怨。有目标的人，睡不着；没目标的人，睡不醒。有目标的人，内心安宁；没目标的人，内心茫然。,励志,positive
157, 早安心语：奋斗令我们的生活充满生机，责任让我们生命充满意义，常遇困境说明你是在进步，常有压力，说明你有目标。,励志,positive
158, 无所谓，累不累；无所谓，悔不悔；为了目标全力以赴，就是完美。,励志,positive
159, 我一开始在大街上忙无目的的找找下一个目标。之所以会半夜里出来，是因为总觉得在这个时候仍然在外逛荡的女人，都比较容易下手。但是她们的血液却不够纯净。,励志,positive
160, 对手，我十分感激你，是你，激励着我勇往直前；是你，让我有了更大的进步；是你，让我有了奋斗的目标，不再让我像失控的船儿一般盲目的在水上漂。,励志,positive
161, 【智言慧语】不知什么是佛，没有目标，盲目地念佛，念了好几年，还照样分别、执着。真正的佛在哪?清静心就是佛，清静心是什么?用智慧放下一切。,励志,positive
